other,num_reactions,num_comments,num_shares,num_likes,num_loves
0,529,512,262,432,92
1,150,0,0,150,0
2,227,236,57,204,21
3,111,0,0,111,0
4,213,0,0,204,9
5,217,6,0,211,5
6,503,614,72,418,70
7,295,453,53,260,32
8,203,1,0,198,5
9,170,9,1,167,3
10,210,2,3,202,7
11,222,4,0,213,5
12,313,4,2,305,6
13,209,4,0,200,8
14,346,11,0,335,10
15,332,100,30,303,23
16,135,256,79,117,18
17,150,173,47,132,16
18,221,166,36,192,28
19,152,2,0,149,3
20,234,15,1,221,12
21,227,7,1,217,7
22,98,0,0,96,0
23,18,0,0,18,0
24,102,0,0,100,0
25,37,0,1,37,0
26,75,36,14,70,5
27,90,78,9,85,5
28,145,9,0,138,7
29,253,300,31,229,22
30,85,0,0,81,2
31,45,14,0,40,5
32,92,0,0,85,4
33,125,1,0,116,8
34,119,4,0,116,3
35,293,8,0,281,11
36,128,137,26,110,16
37,84,15,13,78,5
38,66,11,6,61,4
39,171,292,28,150,19
40,90,72,23,79,10
41,139,39,9,121,16
42,236,181,21,201,33
43,225,210,34,193,30
44,275,12,0,260,11
45,372,456,37,334,31
46,445,9,0,419,23
47,128,60,11,114,13
48,186,235,46,163,19
49,309,444,36,254,42
50,77,11,3,75,2
51,119,72,28,103,16
52,100,21,13,95,5
53,240,255,111,193,44
54,164,136,48,146,15
55,202,327,42,171,30
56,211,284,46,186,25
57,148,114,16,136,10
58,97,81,16,84,13
59,279,292,34,254,20
60,263,8,0,245,14
61,177,193,34,151,25
62,517,32,1,484,26
63,289,258,33,256,33
64,66,13,0,65,1
65,112,6,0,104,8
66,206,259,48,181,22
67,362,468,86,305,56
68,184,130,51,161,23
69,216,251,34,199,16
70,57,0,0,56,1
71,272,258,43,226,44
72,248,247,34,208,33
73,132,89,40,110,20
74,226,341,41,196,30
75,35,1,0,35,0
76,219,316,36,170,46
77,94,1,1,94,0
78,259,368,50,234,25
79,62,1,0,62,0
80,127,76,21,114,13
81,149,63,15,134,15
82,134,171,41,116,18
83,392,461,47,360,32
